job_id,job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name
AI00028,Data Analyst,52997,USD,MI,PT,Austria,M,Singapore,0,"Mathematics, Kubernetes, TensorFlow, Tableau, PyTorch",PhD,2,Government,10-01-2025,20-02-2025,2101,8.6,Predictive Systems
AI00029,Head of AI,42819,USD,EN,CT,Ireland,M,Ireland,50,"Python, Scala, NLP, Mathematics, Git",PhD,0,Healthcare,08-10-2024,20-11-2024,2187,8.6,Cognitive Computing
AI00030,ML Ops Engineer,82083,USD,MI,CT,Israel,L,Israel,100,"Azure, Python, Computer Vision, Kubernetes, TensorFlow",Master,2,Retail,18-01-2024,25-02-2024,1212,6.3,Future Systems
AI00031,Head of AI,67488,EUR,EN,FT,Netherlands,M,Netherlands,100,"Deep Learning, GCP, AWS, Linux, Tableau",Master,1,Retail,16-05-2024,26-07-2024,887,6,Advanced Robotics
AI00032,Research Scientist,68624,USD,EN,FT,Denmark,M,Denmark,0,"Azure, Python, Spark",Master,1,Real Estate,31-01-2024,08-03-2024,1910,9.2,Cloud AI Solutions
AI00033,Robotics Engineer,146852,USD,SE,FT,Switzerland,S,Switzerland,50,"NLP, Scala, Python",PhD,7,Real Estate,28-08-2024,20-09-2024,684,5.3,Cognitive Computing
AI00034,ML Ops Engineer,178183,USD,EX,FL,Finland,M,Finland,0,"Tableau, Azure, GCP, Linux, Python",Associate,16,Education,01-03-2024,19-03-2024,1850,5.7,Predictive Systems
AI00035,Deep Learning Engineer,150864,USD,SE,FL,Sweden,L,Singapore,0,"R, GCP, MLOps, Linux",PhD,8,Consulting,26-10-2024,25-12-2024,1504,7.9,Smart Analytics
AI00036,Head of AI,126942,USD,EX,CT,Finland,L,Netherlands,0,"Git, Hadoop, Data Visualization",Associate,10,Finance,31-01-2024,26-02-2024,1261,9.9,Autonomous Tech
AI00037,AI Architect,53752,USD,MI,PT,Japan,M,Japan,100,"Data Visualization, Tableau, AWS, Mathematics, Python",Associate,2,Telecommunications,17-10-2024,12-11-2024,998,6.1,TechCorp Inc
AI00038,Robotics Engineer,111381,USD,EX,CT,Israel,S,Israel,0,"Linux, PyTorch, SQL, Statistics",Master,18,Government,14-01-2024,12-03-2024,1030,8.1,Autonomous Tech
AI00039,AI Specialist,41430,USD,EN,PT,China,M,China,50,"Tableau, Docker, GCP",Bachelor,1,Healthcare,15-06-2024,29-07-2024,2323,8,Future Systems
AI00040,Data Engineer,166080,EUR,EX,FL,Netherlands,L,Netherlands,100,"Computer Vision, Azure, Tableau",Associate,15,Government,01-03-2024,01-05-2024,831,5.1,DeepTech Ventures
AI00041,Data Scientist,96956,USD,MI,FT,United States,M,China,0,"Data Visualization, Azure, Spark, MLOps",Bachelor,2,Telecommunications,24-02-2024,09-03-2024,761,5.3,DataVision Ltd
AI00042,AI Architect,196954,USD,SE,FL,United States,L,United States,50,"Java, Mathematics, SQL",Bachelor,8,Finance,17-03-2025,16-04-2025,2290,7.5,DataVision Ltd
AI00043,AI Specialist,56745,USD,EN,PT,Finland,L,Finland,100,"Spark, Mathematics, GCP",Associate,1,Telecommunications,01-02-2025,11-04-2025,502,5.5,Quantum Computing Inc
AI00044,Machine Learning Researcher,113455,USD,SE,FT,Singapore,M,Singapore,50,"Hadoop, Docker, Python, Azure",Associate,8,Retail,24-04-2024,12-06-2024,1281,8,AI Innovations
AI00045,ML Ops Engineer,158808,EUR,SE,PT,Netherlands,M,Netherlands,50,"Docker, R, Linux",Bachelor,5,Media,03-03-2025,03-05-2025,1926,7.4,Future Systems
AI00046,AI Research Scientist,174663,USD,SE,CT,United States,M,Singapore,50,"Data Visualization, Statistics, R",Associate,7,Media,10-01-2024,22-03-2024,1151,5.4,DeepTech Ventures
AI00047,AI Research Scientist,46753,USD,EN,CT,India,S,India,50,"Scala, Java, Tableau",PhD,1,Manufacturing,16-11-2024,18-12-2024,2012,9.7,Quantum Computing Inc
AI00048,AI Software Engineer,69020,USD,MI,FL,China,L,China,0,"Java, Azure, GCP",Bachelor,4,Energy,05-09-2024,25-10-2024,1584,8.8,TechCorp Inc
AI00049,AI Specialist,288815,USD,EX,PT,Switzerland,S,Switzerland,0,"Deep Learning, Git, Data Visualization, Linux, Java",Bachelor,12,Manufacturing,08-08-2024,23-09-2024,1930,7.2,Cognitive Computing
AI00050,AI Consultant,124871,USD,EX,FL,Austria,M,Finland,50,"Hadoop, AWS, Linux, Docker, Statistics",PhD,19,Media,10-03-2025,17-05-2025,1556,8,Autonomous Tech
AI00051,AI Architect,70391,EUR,MI,FT,Germany,S,Germany,0,"Deep Learning, SQL, Mathematics",PhD,4,Government,16-08-2024,19-10-2024,1974,9.2,TechCorp Inc
AI00052,Research Scientist,115376,USD,EX,FT,India,M,India,100,"Linux, R, Azure, Mathematics, Git",Master,17,Technology,12-03-2024,14-04-2024,2028,5.5,Autonomous Tech
AI00053,Research Scientist,106579,USD,MI,PT,United States,S,United States,100,"Docker, Tableau, Mathematics",Associate,3,Gaming,24-02-2024,02-05-2024,2028,5.4,Cognitive Computing
AI00054,Data Scientist,135230,USD,SE,PT,Norway,S,Norway,100,"R, PyTorch, Kubernetes, Computer Vision",PhD,8,Consulting,07-07-2024,09-09-2024,1219,7.5,DataVision Ltd
AI00055,Research Scientist,67607,USD,MI,PT,Israel,S,Israel,50,"Python, Tableau, TensorFlow, AWS",Master,4,Media,05-08-2024,26-08-2024,1714,8.6,Quantum Computing Inc
AI00056,AI Architect,88470,USD,MI,PT,Canada,L,Canada,0,"Azure, Kubernetes, TensorFlow, Statistics, Spark",Associate,3,Real Estate,29-07-2024,27-09-2024,1528,9.1,Autonomous Tech
AI00057,Autonomous Systems Engineer,79863,USD,MI,FL,India,L,India,100,"Python, Docker, GCP, Scala",Associate,4,Automotive,28-09-2024,26-10-2024,1325,5.6,Autonomous Tech
AI00058,Machine Learning Engineer,60299,USD,EN,PT,Israel,L,Israel,100,"Git, Linux, Python, TensorFlow, Mathematics",PhD,0,Finance,22-03-2025,01-05-2025,1872,6.6,Advanced Robotics
AI00059,Machine Learning Engineer,85645,EUR,MI,FT,Germany,M,Germany,0,"PyTorch, Computer Vision, R",Associate,4,Transportation,09-02-2024,06-03-2024,793,7.9,AI Innovations
AI00060,AI Software Engineer,110222,GBP,SE,FL,United Kingdom,S,France,0,"R, Spark, AWS",Associate,8,Media,20-03-2024,05-05-2024,1945,9,TechCorp Inc
AI00061,Data Scientist,49365,USD,EN,FT,China,M,China,0,"Tableau, NLP, Azure, Statistics, PyTorch",Associate,1,Finance,22-06-2024,14-08-2024,1907,10,Predictive Systems
AI00062,Data Scientist,162296,USD,SE,PT,Norway,S,Norway,50,"TensorFlow, Azure, Computer Vision, Data Visualization",Bachelor,6,Finance,05-06-2024,01-07-2024,1714,6.2,Neural Networks Co
AI00063,AI Consultant,102382,USD,MI,PT,Switzerland,M,Switzerland,0,"TensorFlow, Scala, Docker, Statistics",PhD,3,Education,23-03-2024,03-06-2024,2199,5.8,Smart Analytics
AI00064,AI Software Engineer,99972,USD,MI,PT,Australia,M,Canada,50,"Java, R, Deep Learning, NLP, Azure",PhD,4,Technology,20-02-2024,15-03-2024,799,6.5,Cloud AI Solutions
AI00065,Data Engineer,64129,USD,EN,CT,South Korea,L,South Korea,0,"Java, Git, Deep Learning",Bachelor,0,Manufacturing,15-12-2024,11-02-2025,909,7.1,Machine Intelligence Group
AI00066,AI Specialist,87938,USD,SE,FT,Ireland,S,Ireland,100,"Mathematics, Spark, Python, AWS",PhD,8,Education,15-12-2024,12-02-2025,508,8.1,Machine Intelligence Group
AI00067,Autonomous Systems Engineer,71405,USD,MI,FL,Israel,L,Israel,0,"SQL, Java, MLOps, Linux, PyTorch",Associate,4,Retail,01-09-2024,29-10-2024,1153,9.5,Advanced Robotics
AI00068,Machine Learning Engineer,316182,USD,EX,PT,Denmark,M,Canada,0,"Python, Scala, Statistics, Git",Associate,12,Finance,09-02-2025,23-02-2025,2452,7,Digital Transformation LLC
AI00069,Machine Learning Researcher,72459,EUR,EN,PT,Germany,M,Germany,100,"Hadoop, Python, Kubernetes, Azure",Bachelor,0,Gaming,30-08-2024,15-09-2024,583,9.6,Quantum Computing Inc
AI00070,Principal Data Scientist,78338,EUR,MI,FT,France,L,France,100,"MLOps, Kubernetes, Git, Python",Associate,3,Technology,31-10-2024,15-12-2024,548,8.7,Cognitive Computing
AI00071,NLP Engineer,51907,USD,MI,FL,Israel,M,Singapore,100,"AWS, Kubernetes, Azure",Bachelor,4,Healthcare,14-02-2024,02-04-2024,912,8.2,Neural Networks Co
AI00072,Autonomous Systems Engineer,122831,EUR,SE,FL,France,S,France,100,"PyTorch, Kubernetes, Git, SQL",Master,7,Real Estate,31-05-2024,19-06-2024,761,8.4,Algorithmic Solutions
AI00073,Machine Learning Researcher,124820,USD,MI,FL,Norway,S,Norway,50,"NLP, Azure, Statistics, Spark, Mathematics",Associate,3,Real Estate,02-08-2024,01-10-2024,2077,9.9,Cognitive Computing
AI00074,Autonomous Systems Engineer,134200,GBP,SE,PT,United Kingdom,S,United Kingdom,50,"Linux, R, Tableau",PhD,9,Retail,29-11-2024,09-01-2025,2396,7.8,Machine Intelligence Group
AI00075,Data Engineer,51920,USD,EN,PT,Sweden,S,Finland,100,"Scala, R, Tableau, Data Visualization",PhD,0,Consulting,08-04-2025,13-05-2025,1778,7.9,Digital Transformation LLC
AI00076,Data Engineer,56427,USD,EN,FL,Singapore,M,Singapore,100,"Mathematics, Kubernetes, Spark",Master,0,Energy,16-11-2024,25-01-2025,1366,5.2,DeepTech Ventures
AI00077,AI Product Manager,213783,USD,EX,FT,Canada,S,Canada,100,"Kubernetes, Spark, Statistics, Scala",Bachelor,16,Energy,19-09-2024,06-10-2024,2383,9.2,Quantum Computing Inc
AI00078,ML Ops Engineer,59728,USD,MI,FL,Israel,M,Israel,50,"MLOps, SQL, Statistics",Associate,2,Finance,10-06-2024,13-08-2024,1350,7.5,DataVision Ltd
AI00079,Computer Vision Engineer,119432,USD,SE,CT,India,L,India,0,"Scala, MLOps, NLP",PhD,6,Technology,20-04-2024,08-06-2024,1008,6.3,Autonomous Tech
AI00080,AI Research Scientist,284486,USD,EX,CT,United States,M,United States,0,"PyTorch, Linux, SQL",Master,12,Consulting,13-02-2025,10-03-2025,2231,7,TechCorp Inc
AI00081,Data Analyst,157597,EUR,EX,CT,France,L,France,50,"Git, Kubernetes, TensorFlow, R, Java",Bachelor,17,Manufacturing,31-08-2024,15-09-2024,639,8.4,Neural Networks Co
AI00082,ML Ops Engineer,196942,USD,EX,CT,Australia,L,Australia,100,"R, Tableau, SQL, MLOps, Docker",Master,19,Gaming,01-04-2024,16-04-2024,826,7.5,TechCorp Inc
AI00083,Machine Learning Researcher,207548,USD,EX,CT,Canada,M,Canada,0,"NLP, Azure, Spark, Data Visualization",PhD,10,Energy,05-02-2024,11-03-2024,2292,6.7,Cognitive Computing
AI00084,NLP Engineer,68838,USD,MI,FL,Sweden,S,Sweden,50,"Java, SQL, Spark, Tableau, Azure",PhD,3,Automotive,20-06-2024,12-08-2024,804,7.4,TechCorp Inc
AI00085,ML Ops Engineer,125666,USD,EX,FL,Finland,L,Finland,100,"Docker, Python, Git, Kubernetes, Java",PhD,13,Telecommunications,19-06-2024,22-08-2024,757,8.4,TechCorp Inc
AI00086,NLP Engineer,73174,USD,EN,FT,Denmark,M,Denmark,50,"Git, MLOps, Hadoop, Python, Spark",Associate,0,Finance,14-07-2024,08-09-2024,678,6.4,Machine Intelligence Group
AI00087,Autonomous Systems Engineer,33314,USD,EN,CT,Israel,S,India,50,"SQL, Kubernetes, Docker",Bachelor,0,Manufacturing,16-04-2025,15-06-2025,1207,8.3,Future Systems
AI00088,AI Specialist,69914,USD,EN,FT,United States,S,United States,100,"R, NLP, SQL, GCP",Associate,0,Transportation,15-02-2025,15-04-2025,1517,7,Smart Analytics
AI00089,Principal Data Scientist,152118,EUR,EX,FL,France,M,France,50,"Spark, SQL, Python, Mathematics, Linux",Master,11,Automotive,20-05-2024,14-07-2024,1294,6.9,AI Innovations
AI00090,AI Software Engineer,78014,EUR,EN,CT,France,L,France,50,"PyTorch, Hadoop, Scala, Computer Vision",PhD,0,Real Estate,19-11-2024,07-12-2024,841,6.8,Digital Transformation LLC
AI00091,Research Scientist,48466,USD,EN,PT,Canada,S,Canada,100,"Hadoop, Spark, Kubernetes, Python",Bachelor,0,Automotive,10-03-2025,14-05-2025,1146,5.7,Predictive Systems
AI00092,Data Analyst,97997,EUR,SE,CT,France,S,France,50,"Hadoop, Python, TensorFlow, R, Statistics",PhD,8,Technology,19-06-2024,16-07-2024,2419,6,Algorithmic Solutions
AI00093,Principal Data Scientist,128341,USD,SE,FL,Singapore,S,Singapore,0,"Computer Vision, PyTorch, GCP, Linux",Bachelor,9,Finance,26-04-2025,15-06-2025,2457,6.9,Neural Networks Co
AI00094,AI Research Scientist,111528,USD,MI,FL,United States,L,United States,0,"Java, Hadoop, Mathematics",PhD,3,Real Estate,01-03-2024,08-05-2024,1299,9.5,Predictive Systems
AI00095,Machine Learning Researcher,138945,USD,EX,PT,Canada,S,Canada,50,"Linux, R, NLP, PyTorch, Git",Master,19,Education,10-07-2024,15-09-2024,1559,8.9,DeepTech Ventures
AI00096,NLP Engineer,98688,USD,SE,FT,Israel,M,Israel,50,"Statistics, Python, TensorFlow, PyTorch, Git",Bachelor,8,Manufacturing,10-04-2024,03-05-2024,598,8.6,Cognitive Computing
AI00097,Data Analyst,109029,EUR,SE,FT,France,S,France,0,"Kubernetes, Scala, Java",Bachelor,6,Technology,05-04-2025,13-06-2025,2049,6.1,Predictive Systems
AI00098,NLP Engineer,84797,USD,MI,FT,Canada,M,Canada,0,"Deep Learning, Statistics, Computer Vision, TensorFlow, Mathematics",Master,4,Real Estate,04-12-2024,03-01-2025,1909,6.2,Machine Intelligence Group
AI00099,Machine Learning Researcher,290199,USD,EX,CT,Switzerland,L,Denmark,50,"Python, AWS, Kubernetes, Deep Learning",Master,12,Retail,12-01-2025,07-03-2025,1137,5.6,Smart Analytics
AI00100,AI Research Scientist,195691,USD,SE,CT,United States,L,United States,0,"AWS, Kubernetes, Docker, Mathematics, MLOps",PhD,8,Transportation,20-04-2024,22-06-2024,916,8.7,Advanced Robotics
AI00101,AI Product Manager,193448,USD,SE,FT,Norway,L,Norway,100,"Scala, Git, Java",Associate,9,Consulting,02-01-2025,11-03-2025,579,6.6,Cognitive Computing
AI00102,AI Product Manager,138466,USD,EX,PT,Israel,L,Israel,100,"Azure, AWS, PyTorch, GCP, Hadoop",Associate,16,Government,25-01-2024,04-04-2024,1690,9.5,Smart Analytics
AI00103,Data Analyst,91577,EUR,MI,CT,Netherlands,M,Netherlands,100,"Spark, Mathematics, PyTorch, SQL, TensorFlow",Bachelor,3,Transportation,27-01-2024,28-02-2024,859,6.5,Algorithmic Solutions
AI00104,Computer Vision Engineer,92875,USD,MI,FT,Sweden,S,Sweden,0,"SQL, Python, Deep Learning",PhD,3,Real Estate,21-07-2024,27-09-2024,701,5.3,Digital Transformation LLC
AI00105,Data Engineer,213287,GBP,EX,FT,United Kingdom,S,United Kingdom,100,"TensorFlow, GCP, PyTorch, Spark",Master,13,Healthcare,03-03-2025,03-04-2025,1102,6.3,Cloud AI Solutions
AI00106,NLP Engineer,62171,USD,MI,FT,Japan,S,Japan,0,"Git, SQL, PyTorch, Mathematics",Bachelor,2,Consulting,15-09-2024,07-11-2024,2162,8.1,AI Innovations
AI00107,AI Research Scientist,152658,USD,EX,FL,South Korea,L,United Kingdom,50,"Data Visualization, PyTorch, Spark, TensorFlow",Associate,16,Automotive,28-01-2024,17-03-2024,548,9,TechCorp Inc
AI00108,ML Ops Engineer,95085,USD,MI,FT,Norway,M,Norway,100,"TensorFlow, SQL, NLP, Computer Vision, Git",Associate,2,Retail,20-03-2024,20-04-2024,2298,6.5,Predictive Systems
AI00109,Deep Learning Engineer,86750,EUR,MI,FL,France,S,France,100,"Java, R, Git, Mathematics, Spark",PhD,2,Government,13-12-2024,24-02-2025,1397,7.1,AI Innovations
AI00110,AI Specialist,64261,USD,MI,PT,Israel,M,Israel,0,"PyTorch, Docker, GCP",Master,2,Transportation,04-09-2024,10-10-2024,2385,8.8,TechCorp Inc
AI00111,Machine Learning Researcher,205357,USD,EX,PT,United States,S,United States,100,"Computer Vision, Hadoop, Git, AWS",Bachelor,18,Education,08-03-2024,13-05-2024,1646,6.6,Predictive Systems
AI00112,AI Architect,165676,EUR,EX,CT,France,S,France,50,"TensorFlow, Linux, SQL, Hadoop",Associate,18,Government,13-05-2024,25-06-2024,926,7.8,Neural Networks Co
AI00113,Computer Vision Engineer,114658,EUR,SE,CT,France,M,France,100,"SQL, Scala, Python",Bachelor,9,Telecommunications,18-03-2024,20-04-2024,1560,8.2,Algorithmic Solutions
AI00114,Data Scientist,143149,EUR,SE,FL,France,L,France,50,"NLP, Computer Vision, Mathematics, Statistics, R",Master,6,Real Estate,13-03-2024,10-05-2024,1169,9.1,Digital Transformation LLC
AI00115,Machine Learning Researcher,116276,EUR,SE,FL,Germany,S,Germany,50,"Azure, R, Linux, MLOps",Bachelor,7,Technology,14-08-2024,06-09-2024,608,7.9,Future Systems
AI00116,NLP Engineer,61055,USD,EN,FL,United States,M,Ireland,100,"R, AWS, Computer Vision, Statistics, Docker",Bachelor,0,Retail,04-06-2024,16-07-2024,1891,6.9,Autonomous Tech
AI00117,ML Ops Engineer,50303,USD,EN,FT,Austria,L,Austria,100,"Kubernetes, SQL, Azure, Deep Learning, Linux",Master,0,Gaming,11-08-2024,02-10-2024,2015,7,DataVision Ltd
AI00118,Data Analyst,65570,USD,SE,FL,Ireland,S,Ireland,50,"PyTorch, SQL, MLOps, AWS, TensorFlow",Associate,7,Retail,22-10-2024,06-11-2024,635,9.9,Smart Analytics
AI00119,AI Software Engineer,231078,USD,EX,FL,Singapore,M,Singapore,50,"MLOps, R, Git, Mathematics",Bachelor,17,Consulting,15-04-2024,03-06-2024,784,7.6,Neural Networks Co
AI00120,AI Product Manager,106633,USD,SE,FT,Australia,M,South Korea,100,"Linux, Scala, SQL, Git",Bachelor,9,Automotive,18-05-2024,25-06-2024,1243,5.5,Algorithmic Solutions
AI00121,AI Specialist,121180,USD,SE,FL,Austria,L,Austria,0,"Git, Deep Learning, Kubernetes, Linux, GCP",Master,9,Media,06-01-2025,01-02-2025,611,7,Quantum Computing Inc
AI00122,Principal Data Scientist,64531,USD,EN,PT,China,L,Netherlands,50,"Git, SQL, Scala, Python, Computer Vision",PhD,0,Retail,26-03-2025,13-04-2025,1645,7,Smart Analytics
AI00123,Machine Learning Engineer,125654,USD,MI,CT,Singapore,L,Singapore,50,"Python, Tableau, Java",PhD,4,Automotive,20-06-2024,25-08-2024,1212,6.8,DataVision Ltd
AI00124,Machine Learning Researcher,182275,USD,EX,FT,Austria,L,Austria,0,"Docker, AWS, Linux, Git, Azure",PhD,14,Technology,19-04-2025,14-05-2025,2427,9,DeepTech Ventures
AI00125,Machine Learning Researcher,117708,USD,MI,FL,Denmark,L,Denmark,0,"PyTorch, Scala, Linux, Tableau, Deep Learning",PhD,4,Transportation,24-02-2024,17-03-2024,1912,9.3,Neural Networks Co
AI00126,Data Engineer,143246,USD,EX,FT,South Korea,S,South Korea,0,"Docker, SQL, Kubernetes, Git, Statistics",Master,11,Healthcare,25-12-2024,24-01-2025,1426,8.4,Future Systems
AI00127,AI Product Manager,203198,USD,SE,FT,Denmark,L,Denmark,50,"Statistics, R, Python, TensorFlow",Master,5,Consulting,04-12-2024,11-01-2025,1596,7.6,DeepTech Ventures
AI00128,Research Scientist,69487,USD,EN,CT,Switzerland,S,Switzerland,0,"Kubernetes, Azure, Spark, TensorFlow, Linux",Master,0,Transportation,04-11-2024,02-12-2024,1825,7.7,Machine Intelligence Group
AI00129,AI Product Manager,95673,USD,EX,FL,Ireland,S,Ireland,0,"GCP, R, Azure, Deep Learning, PyTorch",Associate,17,Technology,24-08-2024,15-09-2024,1467,8.1,Neural Networks Co
AI00130,AI Software Engineer,59405,USD,EN,FL,Austria,L,Austria,100,"Spark, Python, Deep Learning, Linux, Java",Bachelor,1,Consulting,18-03-2025,12-04-2025,984,6,Smart Analytics
AI00131,AI Specialist,131756,EUR,SE,PT,Netherlands,M,Finland,0,"AWS, R, Spark",PhD,5,Technology,03-08-2024,15-10-2024,2308,7.9,AI Innovations
AI00132,AI Software Engineer,42835,USD,EN,PT,South Korea,L,France,0,"Python, TensorFlow, PyTorch",Bachelor,0,Media,02-03-2025,30-03-2025,539,9,Machine Intelligence Group
AI00133,Autonomous Systems Engineer,61893,USD,EN,FT,Canada,M,Canada,50,"Statistics, Python, SQL",Associate,1,Consulting,28-03-2024,01-05-2024,1419,5.2,Predictive Systems
AI00134,ML Ops Engineer,141791,EUR,EX,CT,France,M,France,0,"Hadoop, Azure, Python, R",PhD,13,Media,03-02-2025,23-02-2025,2136,5.8,Algorithmic Solutions
AI00135,AI Product Manager,258637,GBP,EX,PT,United Kingdom,M,United Kingdom,50,"Computer Vision, GCP, Azure, SQL, Python",Master,11,Education,16-01-2025,15-02-2025,813,9.1,Cognitive Computing
AI00136,NLP Engineer,49485,USD,MI,FT,Finland,S,Finland,0,"Hadoop, Java, Data Visualization",Associate,2,Technology,09-08-2024,16-09-2024,909,7.8,Cloud AI Solutions
AI00137,Robotics Engineer,172916,USD,SE,PT,Norway,S,India,100,"Computer Vision, SQL, PyTorch, Java",Bachelor,8,Manufacturing,29-12-2024,15-01-2025,1630,7.6,Smart Analytics
AI00138,Machine Learning Engineer,324557,USD,EX,FT,Denmark,L,Denmark,100,"Hadoop, Python, Git, TensorFlow",PhD,11,Telecommunications,06-11-2024,24-11-2024,1209,7.3,Machine Intelligence Group
AI00139,AI Consultant,73894,EUR,MI,CT,France,M,France,50,"PyTorch, Statistics, MLOps, Kubernetes, Computer Vision",Bachelor,4,Consulting,08-08-2024,12-09-2024,1070,5.2,Digital Transformation LLC
AI00140,Principal Data Scientist,122598,USD,SE,FT,Sweden,S,India,50,"Linux, AWS, Computer Vision, Deep Learning",Associate,9,Media,05-01-2025,13-02-2025,1181,5.2,Digital Transformation LLC
